cross,mean,SE,sex,enviro,sire,dam
P1,58.76,8.884266667,U,29,1,1
P2,93.8,22.48333333,U,29,2,2
F1,45.29166667,21.68289553,U,29,2,1
rF1,90.875,48.27287138,U,29,1,2
F2a,33,12.5,U,29,3,3
F2b,43.7,16.57888889,U,29,3,4
rF2a,26.09090909,20.55371901,U,29,4,3
rF2b,37.41666667,22.90088384,U,29,4,4
BC1a,39.65,12.24881579,U,29,3,1
BC1b,29.19047619,17.02675737,U,29,4,1
rBC1a,52.65,27.65407895,U,29,1,3
rBC1b,46.04761905,15.530839,U,29,1,4
BC2a,41.57142857,24.6170068,U,29,3,2
BC2b,36.76190476,30.87573696,U,29,4,2
rBC2a,13.5,5.823684211,U,29,2,3
rBC2b,20.47619048,13.29342404,U,29,2,4
