cross,mean,SE,sex,enviro,sire,dam
P1,64.14286,12.52127,U,35,1,1
P2,34.78571,8.39229,U,35,2,2
F1,77.28571,14.50240,U,35,2,1
rF1,85.00000,9.72723,U,35,1,2
F2a,73.57143,7.22053,U,35,3,3
F2b,68.71429,9.27545,U,35,3,4
rF2a,60.28571,9.24202,U,35,4,3
rF2b,80.57143,5.37568,U,35,4,4
BC1a,46.14286,7.00486,U,35,3,1
BC1b,73.71429,4.23542,U,35,4,1
rBC1a,75.14286,12.69313,U,35,1,3
rBC1b,88.71429,6.73553,U,35,1,4
BC2a,95.57143,9.98536,U,35,3,2
BC2b,58.00000,17.08104,U,35,4,2
rBC2a,69.14286,9.76980,U,35,2,3
rBC2b,74.42857,10.56692,U,35,2,4
P1,72.42857,9.36777,U,29,17,17
P2,47.16667,10.03919,U,29,18,18
F1,77.00000,14.16905,U,29,18,17
rF1,57.85714,15.20875,U,29,17,18
F2a,81.57143,6.70770,U,29,19,19
F2b,76.71429,12.84470,U,29,19,20
rF2a,82.85714,6.16607,U,29,20,19
rF2b,74.00000,5.34077,U,29,20,20
BC1a,48.00000,9.03960,U,29,19,17
BC1b,67.28571,3.95639,U,29,20,17
rBC1a,73.42857,8.22267,U,29,17,19
rBC1b,95.83333,3.04868,U,29,17,20
BC2a,89.42857,16.20091,U,29,19,18
BC2b,81.85714,22.50865,U,29,20,18
rBC2a,72.42857,13.66061,U,29,18,19
rBC2b,64.71429,14.99637,U,29,18,20
