cross,mean,SE,sex,enviro,sire,dam
P1,24.57143,71.612245,U,35,1,1
P2,20.85714,41.877551,U,35,2,2
F1,12.42857,20.564626,U,35,2,1
rF1,28.00000,46.142857,U,35,1,2
F2a,23.85714,30.925170,U,35,3,3
F2b,15.57143,36.564626,U,35,3,4
rF2a,16.42857,36.707483,U,35,4,3
rF2b,19.57143,44.612245,U,35,4,4
BC1a,13.14286,7.353741,U,35,3,1
BC1b,13.14286,6.401361,U,35,4,1
rBC1a,30.71429,92.653061,U,35,1,3
rBC1b,24.85714,59.115646,U,35,1,4
BC2a,44.57143,40.517007,U,35,3,2
BC2b,40.57143,59.136054,U,35,4,2
rBC2a,25.14286,34.591837,U,35,2,3
rBC2b,25.00000,43.142857,U,35,2,4
P1,27.14286,52.782313,U,29,17,17
P2,9.28571,9.462585,U,29,18,18
F1,13.00000,3.333333,U,29,18,17
rF1,44.57143,95.945578,U,29,17,18
F2a,21.57143,19.659864,U,29,19,19
F2b,24.28571,29.605442,U,29,19,20
rF2a,25.71429,34.843537,U,29,20,19
rF2b,14.42857,18.088435,U,29,20,20
BC1a,14.00000,2.238095,U,29,19,17
BC1b,14.00000,11.047619,U,29,20,17
rBC1a,23.71429,41.034014,U,29,17,19
rBC1b,30.57143,88.945578,U,29,17,20
BC2a,45.00000,59.285714,U,29,19,18
BC2b,39.33333,65.511111,U,29,20,18
rBC2a,30.57143,40.659864,U,29,18,19
rBC2b,30.66667,83.711111,U,29,18,20
